English source,Translation,Layer,Identifier,Limits,State,Reviewer notes
Keyboard,键盘,In-app,achievement_control_name_keyboard,,needs_review,
Swipe,滑动,In-app,achievement_control_name_swipe,,needs_review,
Tap,点按,In-app,achievement_control_name_tap,,needs_review,
VoiceOver,VoiceOver,In-app,achievement_control_name_voiceover,,needs_review,
+%lld more achievements,还有 +%lld 个成就,In-app,achievement_modal_more %lld,,needs_review,
Other achievements,其他成就,In-app,achievement_modal_other_achievements,,needs_review,
Congratulations! You unlocked:,恭喜！你解锁了：,In-app,achievement_modal_subtitle,,needs_review,
Achievement Completed!,成就达成！,In-app,achievement_modal_title,,needs_review,
%@ Controls,%@ 操作,In-app,achievement_title_control %@,,needs_review,
Digital Crown Controls,Digital Crown 操作,In-app,achievement_title_control_crown,,needs_review,
Game Controller Controls,游戏控制器操作,In-app,achievement_title_control_gamecontroller,,needs_review,
Keyboard Controls,键盘操作,In-app,achievement_title_control_keyboard,,needs_review,
Swipe Controls,滑动操作,In-app,achievement_title_control_swipe,,needs_review,
Tap Controls,点按操作,In-app,achievement_title_control_tap,,needs_review,
VoiceOver Controls,VoiceOver 操作,In-app,achievement_title_control_voiceover,,needs_review,
GAAD Assistive Week,GAAD 辅助科技周,In-app,achievement_title_event_gaad,,needs_review,
Streak %lld,连胜 %lld,In-app,achievement_title_run_overtakes %lld,,needs_review,
Overlander %@,Overlander %@,In-app,achievement_title_total_overtakes %@,,needs_review,
Overlander %lld,Overlander %lld,In-app,achievement_title_total_overtakes %lld,,needs_review,
Coming soon,即将推出,In-app,coming_soon,,needs_review,
A,A,In-app,controller_button_a,,needs_review,
B,B,In-app,controller_button_b,,needs_review,
D-pad Left,方向键左,In-app,controller_button_dpadLeft,,needs_review,
D-pad Right,方向键右,In-app,controller_button_dpadRight,,needs_review,
Left Shoulder,左肩键,In-app,controller_button_leftShoulder,,needs_review,
Left Trigger,左扳机,In-app,controller_button_leftTrigger,,needs_review,
Menu,选单,In-app,controller_button_menu,,needs_review,
None,无,In-app,controller_button_none,,needs_review,
Right Shoulder,右肩键,In-app,controller_button_rightShoulder,,needs_review,
Right Trigger,右扳机,In-app,controller_button_rightTrigger,,needs_review,
X,X,In-app,controller_button_x,,needs_review,
Y,Y,In-app,controller_button_y,,needs_review,
Crash,撞车,In-app,crash_sprite,,needs_review,
False,False,In-app,debug_boolean_false,,needs_review,
True,True,In-app,debug_boolean_true,,needs_review,
Enable experimental Polygon theme,启用实验性 Polygon 主题,In-app,debug_enable_experimental_sixty_four_bit_theme,,needs_review,
Enable experimental Disc theme,启用实验性 Disc 主题,In-app,debug_enable_experimental_thirty_two_bit_theme,,needs_review,
No forced achievement,不强制成就,In-app,debug_force_achievement_none,,needs_review,
Forces the selected achievement to appear in Game Over UI without reporting it.,在游戏结束画面显示选定的成就，但不会回报。,In-app,debug_force_achievement_picker_footer,,needs_review,
Force achievement unlock,强制解锁成就,In-app,debug_force_achievement_picker_title,,needs_review,
Active Assistive Technologies,使用中的辅助科技,In-app,debug_gaad_active_assistive,,needs_review,
None,无,In-app,debug_gaad_assistive_none,,needs_review,
Switch Control,切换控制,In-app,debug_gaad_assistive_switch_control,,needs_review,
VoiceOver,VoiceOver,In-app,debug_gaad_assistive_voiceover,,needs_review,
Current Time,目前时间,In-app,debug_gaad_current_time,,needs_review,
Inside GAAD Week,在 GAAD 周期间,In-app,debug_gaad_in_window,,needs_review,
GAAD Achievement Marked Achieved,GAAD 成就标记为已达成,In-app,debug_gaad_local_achievement,,needs_review,
GAAD Achievement QA,GAAD 成就 QA,In-app,debug_gaad_panel_title,,needs_review,
Qualification Mode,资格模式,In-app,debug_gaad_qualification_mode,,needs_review,
VoiceOver only (watchOS v1),仅 VoiceOver（watchOS v1）,In-app,debug_gaad_qualification_mode_voiceover_only,,needs_review,
VoiceOver + Switch Control (v1),VoiceOver + 切换控制（v1）,In-app,debug_gaad_qualification_mode_voiceover_switch,,needs_review,
Would Qualify If Run Ends Now,若现在结束将符合资格,In-app,debug_gaad_qualifies_now,,needs_review,
GAAD Completion Signal Latched,GAAD 完成讯号已锁定,In-app,debug_gaad_signal_latched,,needs_review,
GAAD Week Window,GAAD 周期间,In-app,debug_gaad_window,,needs_review,
Unavailable,无法使用,In-app,debug_gaad_window_unavailable,,needs_review,
Debug,除错,In-app,debug_section_title,,needs_review,
Show SpriteKit FPS and node count,显示 SpriteKit FPS 与节点数,In-app,debug_show_spritekit_frame_stats,,needs_review,
Simulate Unlimited Plays,模拟无限畅玩,In-app,debug_simulate_premium,,needs_review,
Default uses production behavior. Unlimited Plays forces full access. Freemium simulates that Unlimited Plays has not been purchased.,默认为正式版行为。无限畅玩模拟完整存取；免费模式模拟尚未购买。,In-app,debug_simulate_premium_footer,,needs_review,
Default,默认,In-app,debug_simulation_mode_default,,needs_review,
Freemium,免费模式,In-app,debug_simulation_mode_freemium,,needs_review,
Unlimited Plays,无限畅玩,In-app,debug_simulation_mode_unlimited,,needs_review,
FPS %@ · Nodes %@,FPS %@ · 节点 %@,In-app,debug_spritekit_stats %@ %@,,needs_review,
Done,完成,In-app,done,,needs_review,
Unable to load products. Please check your internet connection.,无法加载商品，请检查网络连接。,In-app,error_product_not_available,,needs_review,
Retry,重试,In-app,error_retry,,needs_review,
"Unlimited until %@, celebrating %@ 🏎",至 %@ 无限畅玩，庆祝 %@ 🏎,In-app,event_play_unlimited_subtitle %@ %@,,needs_review,
Unlimited Plays,无限畅玩,In-app,event_play_unlimited_title,,needs_review,
Finish,结束,In-app,finish,,needs_review,
Retro (Press Start 2P),复古（Press Start 2P）,In-app,font_style_custom,,needs_review,
System,系统,In-app,font_style_system,,needs_review,
System monospaced,等宽系统,In-app,font_style_system_monospaced,,needs_review,
"Upcoming friend score: %@, %lld",下一位好友分数：%@，%lld,In-app,friend_milestone_avatar %@ %lld,,needs_review,
Overtook %@,超过 %@,In-app,friend_overtake_announcement %@,,needs_review,
Overtook %lld friends,超过 %lld 位好友,In-app,friend_overtake_announcement_multiple %lld,,needs_review,
RetroRapid!,RetroRapid!,In-app,gameName,,needs_review,
Game Over,游戏结束,In-app,gameOver,,needs_review,
Finish Game,结束游戏,In-app,game_exit_confirmation_finish,,needs_review,
Keep Playing,继续游戏,In-app,game_exit_confirmation_keep_playing,,needs_review,
Do you want to finish this game and return to the menu?,要结束这局游戏并返回菜单吗？,In-app,game_exit_confirmation_message,,needs_review,
Finish this game?,要结束这局游戏吗？,In-app,game_exit_confirmation_title,,needs_review,
Best: %lld,最佳：%lld,In-app,game_over_best %lld,,needs_review,
Next round could be your best yet.,下一局可能就是你的最佳成绩。,In-app,game_over_encouragement_subtitle,,needs_review,
Well played!,玩得好！,In-app,game_over_encouragement_title,,needs_review,
%@: %lld,%@: %lld,In-app,game_over_friend_score %@ %lld,,needs_review,
Awesome drive! You beat your best score.,太棒了！你刷新了个人最佳。,In-app,game_over_new_record_subtitle,,needs_review,
New Record!,新纪录！,In-app,game_over_new_record_title,,needs_review,
New record: %lld,新纪录：%lld,In-app,game_over_new_record_value %lld,,needs_review,
Next friend ahead,下一位要追的好友,In-app,game_over_next_friend_ahead_title,,needs_review,
+%lld more,还有 +%lld 位,In-app,game_over_overtaken_friends_more %lld,,needs_review,
Friends overtaken this run,本局超过的好友,In-app,game_over_overtaken_friends_title,,needs_review,
Previous best: %lld,先前最佳：%lld,In-app,game_over_previous_best %lld,,needs_review,
Speed: %@,速度：%@,In-app,game_over_speed %@,,needs_review,
Your best: %lld,你的最佳：%lld,In-app,game_over_your_best %lld,,needs_review,
"%@ (%lld, %lld)","%@ (%lld, %lld)",In-app,"grid_cell_label %@ (%lld, %lld)",,needs_review,
Leaderboard,排行榜,In-app,leaderboard,,needs_review,
 x%lld, x%lld,In-app,lives_count,,needs_review,
Menu,选单,In-app,menu_button,,needs_review,
Enjoying the game? You can help RetroRapid!,玩得开心吗？你可以支持 RetroRapid!,In-app,menu_engagement_prompt,,needs_review,
Enjoying the game?,玩得开心吗？,In-app,menu_engagement_prompt_rate_only,,needs_review,
Play with Friends,与好友同玩,In-app,menu_play_with_friends,,needs_review,
Friend races are free.,好友对战免费。,In-app,menu_play_with_friends_free_footer,,needs_review,
SharePlay matches don’t use daily plays.,SharePlay 对战不会消耗每日次数。,In-app,menu_play_with_friends_free_hint,,needs_review,
Rate it,给评分,In-app,menu_rate_game,,needs_review,
Support the game,支持游戏,In-app,menu_support_game,,needs_review,
Move left,向左,In-app,move_left,,needs_review,
Double-tap to move car left,点两下向左移动,In-app,move_left_hint,,needs_review,
Move right,向右,In-app,move_right,,needs_review,
Double-tap to move car right,点两下向右移动,In-app,move_right_hint,,needs_review,
New high score! %lld overtakes,新高分！超车 %lld 次,In-app,new_high_score_message %lld,,needs_review,
No car,无车辆,In-app,no_car,,needs_review,
Ok,好,In-app,ok,,needs_review,
Pause,暂停,In-app,pause,,needs_review,
"Pixel-art portrait of a smiling, bearded man wearing a flat cap and navy sweater, set against a retro racing track with grandstands, starting lights, and tiny green cars in a colorful 16-bit game style.",像素风肖像：戴平顶帽、穿深蓝毛衣的笑脸胡须男子，背景是复古赛道、看台、起跑灯与绿色小车的 16-bit 风格。,In-app,paywall_avatar_accessibility_label,,needs_review,
Hi! I'm Dani. Consider unlocking Unlimited Plays as a way to get me a coffee. Being caffeinated helps me keep building new features that I hope you'll love.,嗨，我是 Dani。解锁无限畅玩就像请我喝杯咖啡。有咖啡因我才能持续做你希望会喜欢的新功能。,In-app,paywall_caption_coffee,,needs_review,
Close,关闭,In-app,paywall_close,,needs_review,
One-time purchase. No subscription. Unlocks unlimited plays forever.,一次性购买，无订阅。永久解锁无限畅玩。,In-app,paywall_footer_one_time,,needs_review,
"10% of proceeds go to **AMMEC**, an association that promotes autonomy and social integration for people with physical disabilities, supporting families and fostering community.",收益的 10% 将捐给 **AMMEC**，这个协会促进身心障碍者的自主与社会融入，支持家庭并凝聚社群。,In-app,paywall_giving_back_body,,needs_review,
Giving Back,回馈社会,In-app,paywall_giving_back_title,,needs_review,
Go Unlimited,解锁无限,In-app,paywall_go_premium,,needs_review,
Learn More,了解更多,In-app,paywall_learn_more,,needs_review,
"Pit stop! You've used up all your plays for today. Come back tomorrow for more free plays. Or go unlimited: One coffee for me, unlimited plays for you!",进站休息！今天的次数用完了。明天会再有免费次数。或解锁无限畅玩：请我喝杯咖啡，你就能无限开跑！,In-app,paywall_limit_notice,,needs_review,
Friend races are free with SharePlay!,SharePlay 好友对战免费！,In-app,paywall_shareplay_free_notice,,needs_review,
Your daily limit resets at midnight.,每日上限会在午夜重置。,In-app,paywall_stay_free_reset_body,,needs_review,
No worries!,别担心！,In-app,paywall_stay_free_reset_title,,needs_review,
Want to Stay Free?,想继续免费玩？,In-app,paywall_stay_free_title,,needs_review,
Keep playing as much as you want on your Apple Watch.,在 Apple Watch 上可尽情游玩。,In-app,paywall_stay_free_watch_body,,needs_review,
Apple Watch,Apple Watch,In-app,paywall_stay_free_watch_title,,needs_review,
Get Unlimited Plays,获取无限畅玩,In-app,paywall_title,,needs_review,
Unlimited plays forever. Choose from available visual themes. Support development.,永久无限畅玩。选择视觉主题。支持开发。,In-app,paywall_unlimited_and_themes,,needs_review,
Play,开始,In-app,play,,needs_review,
Remaining: %lld of %lld,剩余：%lld / %lld,In-app,play_limit_remaining %lld %lld,,needs_review,
Resets in %lld hours,%lld 小时后重置,In-app,play_limit_resets_in_hours %lld,,needs_review,
Resets in 1 hour,1 小时后重置,In-app,play_limit_resets_in_one_hour,,needs_review,
Resets tomorrow at 00:00,明天 00:00 重置,In-app,play_limit_resets_tomorrow,,needs_review,
%lld free plays every day without Unlimited Plays.,未解锁无限畅玩时，每天 %lld 次免费。,In-app,play_limit_section_footer %lld,,needs_review,
%lld free plays every day without Unlimited Plays. Welcome bonus: %lld free plays on your first day.,未解锁无限畅玩时，每天 %lld 次免费。首日加码：%lld 次。,In-app,play_limit_section_footer_first_day %lld %lld,,needs_review,
Thank you for your support!,感谢你的支持！,In-app,play_limit_thank_you,,needs_review,
Play Limit,游玩上限,In-app,play_limit_title,,needs_review,
♾️ Unlimited,♾️ 无限,In-app,play_limit_unlimited,,needs_review,
Player car,玩家车辆,In-app,player_car,,needs_review,
Unlimited Plays,无限畅玩,In-app,product_unlimited_plays,,needs_review,
Purchase Failed,购买失败,In-app,purchase_error_title,,needs_review,
Failed to restore purchases: %@,还原购买失败：%@,In-app,purchase_restored_failed %@,,needs_review,
No purchases found to restore.,找不到可还原的购买。,In-app,purchase_restored_none,,needs_review,
Purchase restored successfully!,购买还原成功！,In-app,purchase_restored_success,,needs_review,
You now have unlimited plays!,你现在可以无限畅玩了！,In-app,purchase_success_message,,needs_review,
Purchase Successful,购买成功,In-app,purchase_success_title,,needs_review,
Redeem Code,兑换代码,In-app,redeem_code,,needs_review,
Play again,再玩一次,In-app,restart,,needs_review,
Restore Purchases,还原购买,In-app,restore_purchases,,needs_review,
Resume,继续,In-app,resume,,needs_review,
Rival car,对手车辆,In-app,rival_car,,needs_review,
Score,分数,In-app,score,,needs_review,
Score: %lld,分数：%lld,In-app,score %lld,,needs_review,
Settings,设置,In-app,settings,,needs_review,
Accessibility,辅助使用,In-app,settings_accessibility,,needs_review,
Audio cue tutorial,音效提示教学,In-app,settings_audio_cue_tutorial,,needs_review,
Audio feedback mode,音效回馈模式,In-app,settings_audio_feedback_mode,,needs_review,
Audio cues (arpeggio),音效提示（琶音）,In-app,settings_audio_feedback_mode_cue_arpeggio,,needs_review,
Audio cues (chord),音效提示（和弦）,In-app,settings_audio_feedback_mode_cue_chord,,needs_review,
Audio cues (lane pulses),音效提示（车道脉冲）,In-app,settings_audio_feedback_mode_cue_lane_pulses,,needs_review,
Retro audio,复古音效,In-app,settings_audio_feedback_mode_retro,,needs_review,
Using Audio cues (arpeggio) (default when VoiceOver is on),VoiceOver 开启时默认：音效提示（琶音）,In-app,settings_audio_feedback_mode_voiceover_default,,needs_review,
Big Cars,大型车辆,In-app,settings_big_cars,,needs_review,
Settings coming soon,设置即将推出,In-app,settings_coming_soon,,needs_review,
Controller,控制器,In-app,settings_controller,,needs_review,
Remapped buttons replace the default D-pad/Menu bindings for those actions. The left stick remains a left/right backup. Arrow keys remain active on Mac.,重新对应的按钮会取代该动作的默认方向键/选单。左摇杆仍可作为左右备援。Mac 上方向键仍可使用。,In-app,settings_controller_footnote,,needs_review,
"Standard D-pad/left stick and Menu/Start controls always work. Mapped A, X, Y, shoulder, and trigger buttons add alternate controls. B/Back opens the finish confirmation.",标准方向键／左摇杆与菜单／开始控制始终有效。自定义的 A、X、Y、肩键和扳机键可作为替代控制。B／返回会打开结束确认。,In-app,settings_controller_footnote_tvos,,needs_review,
Move Left Button,向左移动按钮,In-app,settings_controller_move_left,,needs_review,
Move Right Button,向右移动按钮,In-app,settings_controller_move_right,,needs_review,
Pause/Resume Button,暂停/继续按钮,In-app,settings_controller_pause_resume,,needs_review,
Controls,操作,In-app,settings_controls,,needs_review,
How to play the game,玩法说明,In-app,settings_controls_how_to_play,,needs_review,
"• Swipe left or right to move.
• Tap the left or right half of the screen.
• Use the left and right arrow keys when a keyboard is connected.
• With a controller, the D-pad and left stick move by default; you can remap buttons in Controller settings.","• 左右滑动移动。
• 点按屏幕左半或右半。
• 连接键盘时使用左右方向键。
• 使用控制器时，默认以方向键与左摇杆移动；可在控制器设置中重新对应按钮。",In-app,settings_controls_ios,,needs_review,
"• Use the left and right arrow keys on the keyboard to move.
• Click the left or right half of the window with the trackpad or mouse.
• Press the space bar to pause or resume.
• With a controller, the D-pad and left stick move by default; you can remap buttons in Controller settings.","• 使用键盘左右方向键移动。
• 以触控板/鼠标点按视窗左半或右半。
• 按空白键暂停或继续。
• 使用控制器时，默认以方向键与左摇杆移动；可在控制器设置中重新对应按钮。",In-app,settings_controls_macos,,needs_review,
"• Swipe left or right, or click the left or right edge of the Siri Remote, to move.
• Press Play/Pause to pause or resume.
• Press Menu/Back to choose whether to finish the game.
• With a controller, use the D-pad or left stick to move, Menu/Start to pause, and B/Back to finish. Mapped buttons add alternate controls.","• 在 Siri Remote 上向左或向右滑动，或点按左侧或右侧边缘来移动。
• 按下播放／暂停以暂停或继续。
• 按下菜单／返回来选择是否结束游戏。
• 使用控制器时，以方向键或左摇杆移动、菜单／开始暂停，并以 B／返回结束。自定义按钮可作为替代控制。",In-app,settings_controls_tvos,,needs_review,
"• Look at a lane and pinch to move, or use the Left and Right buttons.
• Use the left and right arrow keys when a keyboard is connected.
• Press Space or use Pause to pause or resume.
• With a controller, use the D-pad or left stick to move and Menu/Start to pause.","• 看向车道并捏合以移动，或使用向左与向右按钮。
• 连接键盘时，使用左右方向键。
• 按空格键或使用暂停来暂停或继续。
• 使用控制器时，以方向键或左摇杆移动，并以菜单／开始暂停。",In-app,settings_controls_visionos,,needs_review,
"• Rotate the Digital Crown up to move right and down to move left.
• Tap the left side of the screen to move left and the right side to move right.
• Swipe left to move left and right to move right.","• 向上转 Digital Crown 向右，向下转向左。
• 点按屏幕左侧向左、右侧向右。
• 左滑向左、右滑向右。",In-app,settings_controls_watchos,,needs_review,
Direct Touch,直接触控,In-app,settings_direct_touch,,needs_review,
Font,字体,In-app,settings_font,,needs_review,
Haptic feedback,触觉回馈,In-app,settings_haptic_feedback,,needs_review,
In-game announcements,游戏内提示,In-app,settings_in_game_announcements,,needs_review,
Lane change cue,变道提示,In-app,settings_lane_move_cue_style,,needs_review,
Haptics,触觉,In-app,settings_lane_move_cue_style_haptics,,needs_review,
Lane + success,车道 + 成功,In-app,settings_lane_move_cue_style_lane_and_safety,,needs_review,
Lane confirmation,车道确认,In-app,settings_lane_move_cue_style_lane_confirmation,,needs_review,
Success,成功,In-app,settings_lane_move_cue_style_safety_only,,needs_review,
Scores are submitted to Game Center.,分数会提交至 Game Center。,In-app,settings_leaderboard_watch_info,,needs_review,
Sign in to Game Center on your iPhone to submit scores from the watch.,请在 iPhone 上登入 Game Center，才能从 Apple Watch 提交分数。,In-app,settings_leaderboard_watch_sign_in_required,,needs_review,
Get Unlimited Plays,取得无限畅玩,In-app,settings_learn_premium,,needs_review,
%lld%%,%lld%%,In-app,settings_percentage_value,,needs_review,
Unlimited Plays,无限畅玩,In-app,settings_premium_active,,needs_review,
Endless play and choose your favorite theme.,无限游玩并选择喜爱的主题。,In-app,settings_premium_active_subtitle,,needs_review,
Purchases,购买,In-app,settings_purchases_title,,needs_review,
"If you've purchased Unlimited Plays on another device, tap Restore Purchases.",若你在其他装置购买过无限畅玩，请点“还原购买”。,In-app,settings_restore_footer,,needs_review,
Road Style,道路样式,In-app,settings_road_visual_style,,needs_review,
Detailed Road,详细道路,In-app,settings_road_visual_style_detailed,,needs_review,
Simplified Grid,简化格线,In-app,settings_road_visual_style_simplified,,needs_review,
Sound,音效,In-app,settings_sound,,needs_review,
Sound effects volume,音效音量,In-app,settings_sound_effects_volume,,needs_review,
Speed,速度,In-app,settings_speed,,needs_review,
Using Cruise (default when VoiceOver is on),VoiceOver 开启时默认：巡航,In-app,settings_speed_voiceover_default,,needs_review,
Speed increase warning feedback,加速警告回馈,In-app,settings_speed_warning_feedback,,needs_review,
VoiceOver announcement,VoiceOver 播报,In-app,settings_speed_warning_feedback_announcement,,needs_review,
None,无,In-app,settings_speed_warning_feedback_none,,needs_review,
Preview warning,预览警告,In-app,settings_speed_warning_feedback_preview_warning,,needs_review,
Haptic,触觉,In-app,settings_speed_warning_feedback_warning_haptic,,needs_review,
Sound,音效,In-app,settings_speed_warning_feedback_warning_sound,,needs_review,
Theme,主题,In-app,settings_theme,,needs_review,
Style Gallery,风格图库,In-app,settings_theme_gallery_preview,,needs_review,
"Theme preview for %@. Shows both cars, both helmets, the explosion, and the road colors.",%@ 主题预览。显示两辆车、两顶头盔、爆炸和道路颜色。,In-app,settings_theme_gallery_preview_accessibility %@,,needs_review,
"%@ theme preview. Home-console sparkle: two bold pixel cars, two punchy helmets, a hot orange crash, and a gray arcade road with bright yellow lines.",%@ 主题预览。家用主机的闪亮感：两辆大胆像素车、两顶有力头盔、热烈橙色撞击，以及带亮黄线条的灰色街机道路。,In-app,settings_theme_gallery_preview_accessibility_eight_bit,,needs_review,
"LCD theme preview. Calculator-arcade vibes: two crisp racers, two clean helmets, a bright crash, and a pale road palette built for sunny high-score runs.",LCD 主题预览。计算器街机氛围：两辆利落赛车、两顶干净头盔、明亮撞击效果，以及适合阳光高分赛道的淡色道路配色。,In-app,settings_theme_gallery_preview_accessibility_lcd,,needs_review,
"Pocket theme preview. Tiny handheld vibes: two moss-green racers, two chunky helmets, a crunchy crash, and a muted road palette from an old pocket screen.",Pocket 主题预览。掌上游戏机氛围：两辆苔绿色赛车、两顶厚实头盔、清脆的撞击效果，以及像老式口袋屏幕的柔和道路配色。,In-app,settings_theme_gallery_preview_accessibility_pocket,,needs_review,
"%@ theme preview. Early arcade drama: two richer pixel cars, two glossy helmets, a fiery crash, and a fast gray road cutting through green grass.",%@ 主题预览。早期街机戏剧感：两辆更细致的像素车、两顶亮面头盔、火焰般的撞击，以及穿过绿草的高速灰色道路。,In-app,settings_theme_gallery_preview_accessibility_sixteen_bit,,needs_review,
"%@ theme preview. Low-poly console racing: two faceted racers, two sculpted helmets, an explosive crash, and a neon aqua circuit over midnight asphalt.",%@ 主题预览。低多边形主机赛车：两辆棱角赛车、两顶立体头盔、爆炸般的碰撞效果，以及午夜沥青上的霓虹水蓝赛道。,In-app,settings_theme_gallery_preview_accessibility_sixty_four_bit,,needs_review,
"%@ theme preview. Late-’90s console energy: two detailed racers, two glossy helmets, a bright crash, and an electric aqua circuit over dark asphalt.",%@ 主题预览。90 年代末期的主机活力：两辆精细赛车、两顶亮面头盔、鲜明的撞击效果，以及深色沥青上的电光水蓝赛道。,In-app,settings_theme_gallery_preview_accessibility_thirty_two_bit,,needs_review,
Style Gallery,风格图库,In-app,settings_theme_gallery_title,,needs_review,
"Want to change themes, get Unlimited Plays, and support the game's development too?",想更换主题、取得无限畅玩，并支持游戏开发吗？,In-app,settings_theme_gallery_unlock_body,,needs_review,
Style,风格,In-app,settings_theme_style,,needs_review,
Want to change themes? Unlock Unlimited Plays in Purchases.,想换主题？在购买中解锁无限畅玩。,In-app,settings_theme_unlock_footnote,,needs_review,
Vibration,震动,In-app,settings_vibration,,needs_review,
Announce friend overtakes,播报超过好友,In-app,settings_voiceover_friend_overtake_announcements,,needs_review,
Share,分享,In-app,share_action,,needs_review,
The connection was lost. Tap Done to return to the menu.,连接中断。点“完成”返回选单。,In-app,shareplay_aborted_disconnected_body,,needs_review,
Your friend is done playing for now. Tap Done to return to the menu.,好友暂时玩到这里。点“完成”返回选单。,In-app,shareplay_aborted_session_ended_body,,needs_review,
Session Ended,连接结束,In-app,shareplay_aborted_title,,needs_review,
Accept Challenge,接受挑战,In-app,shareplay_accept_challenge_button,,needs_review,
RetroRapid! Multiplayer Race,RetroRapid! 多人竞赛,In-app,shareplay_activity_title,,needs_review,
