English source,Translation,Layer,Identifier,Limits,State,Reviewer notes
You completed a run during GAAD week using assistive technology.,Du hast während der GAAD-Woche eine Runde mit assistiver Technologie abgeschlossen.,In-app,achievement_achieved_event_gaad,,needs_review,
You overtook %@ cars in one run.,Du hast %@ Autos in einer Runde überholt.,In-app,achievement_achieved_run_overtakes %@,,needs_review,
You overtook %@ cars in total.,Du hast %@ Autos insgesamt überholt.,In-app,achievement_achieved_total_overtakes %@,,needs_review,
Digital Crown,Digital Crown,In-app,achievement_control_name_crown,,needs_review,
Game Controller,Game Controller,In-app,achievement_control_name_gamecontroller,,needs_review,
Keyboard,Tastatur,In-app,achievement_control_name_keyboard,,needs_review,
Swipe,Wischen,In-app,achievement_control_name_swipe,,needs_review,
Tap,Tippen,In-app,achievement_control_name_tap,,needs_review,
VoiceOver,VoiceOver,In-app,achievement_control_name_voiceover,,needs_review,
+%lld more achievements,+%lld weitere Erfolge,In-app,achievement_modal_more %lld,,needs_review,
Other achievements,Weitere Erfolge,In-app,achievement_modal_other_achievements,,needs_review,
Congratulations! You unlocked:,Glückwunsch! Du hast freigeschaltet:,In-app,achievement_modal_subtitle,,needs_review,
Achievement Completed!,Erfolg freigeschaltet!,In-app,achievement_modal_title,,needs_review,
%@ Controls,%@-Steuerung,In-app,achievement_title_control %@,,needs_review,
Digital Crown Controls,Digital-Crown-Steuerung,In-app,achievement_title_control_crown,,needs_review,
Game Controller Controls,Game-Controller-Steuerung,In-app,achievement_title_control_gamecontroller,,needs_review,
Keyboard Controls,Tastatur-Steuerung,In-app,achievement_title_control_keyboard,,needs_review,
Swipe Controls,Wisch-Steuerung,In-app,achievement_title_control_swipe,,needs_review,
Tap Controls,Tipp-Steuerung,In-app,achievement_title_control_tap,,needs_review,
VoiceOver Controls,VoiceOver-Steuerung,In-app,achievement_title_control_voiceover,,needs_review,
GAAD Assistive Week,GAAD Assistive Week,In-app,achievement_title_event_gaad,,needs_review,
Streak %lld,Serie %lld,In-app,achievement_title_run_overtakes %lld,,needs_review,
Overlander %@,Overlander %@,In-app,achievement_title_total_overtakes %@,,needs_review,
Overlander %lld,Overlander %lld,In-app,achievement_title_total_overtakes %lld,,needs_review,
Coming soon,Demnächst,In-app,coming_soon,,needs_review,
A,A,In-app,controller_button_a,,needs_review,
B,B,In-app,controller_button_b,,needs_review,
D-pad Left,D-pad links,In-app,controller_button_dpadLeft,,needs_review,
D-pad Right,D-pad rechts,In-app,controller_button_dpadRight,,needs_review,
Left Shoulder,Linker Shoulder,In-app,controller_button_leftShoulder,,needs_review,
Left Trigger,Linker Trigger,In-app,controller_button_leftTrigger,,needs_review,
Menu,Menü,In-app,controller_button_menu,,needs_review,
None,Keine,In-app,controller_button_none,,needs_review,
Right Shoulder,Rechter Shoulder,In-app,controller_button_rightShoulder,,needs_review,
Right Trigger,Rechter Trigger,In-app,controller_button_rightTrigger,,needs_review,
X,X,In-app,controller_button_x,,needs_review,
Y,Y,In-app,controller_button_y,,needs_review,
Crash,Crash,In-app,crash_sprite,,needs_review,
False,False,In-app,debug_boolean_false,,needs_review,
True,True,In-app,debug_boolean_true,,needs_review,
Enable experimental Polygon theme,Experimentelles Polygon-Theme aktivieren,In-app,debug_enable_experimental_sixty_four_bit_theme,,needs_review,
Enable experimental Disc theme,Experimentelles Disc-Theme aktivieren,In-app,debug_enable_experimental_thirty_two_bit_theme,,needs_review,
No forced achievement,Kein erzwungener Erfolg,In-app,debug_force_achievement_none,,needs_review,
Forces the selected achievement to appear in Game Over UI without reporting it.,"Zeigt den ausgewählten Erfolg in der Game-Over-Oberfläche an, ohne ihn zu melden.",In-app,debug_force_achievement_picker_footer,,needs_review,
Force achievement unlock,Erfolg freischalten erzwingen,In-app,debug_force_achievement_picker_title,,needs_review,
Active Assistive Technologies,Active Assistive Technologies,In-app,debug_gaad_active_assistive,,needs_review,
None,Keine,In-app,debug_gaad_assistive_none,,needs_review,
Switch Control,Switch Control,In-app,debug_gaad_assistive_switch_control,,needs_review,
VoiceOver,VoiceOver,In-app,debug_gaad_assistive_voiceover,,needs_review,
Current Time,Aktuelle Uhrzeit,In-app,debug_gaad_current_time,,needs_review,
Inside GAAD Week,Innerhalb GAAD Week,In-app,debug_gaad_in_window,,needs_review,
GAAD Achievement Marked Achieved,GAAD Achievement Marked Achieved,In-app,debug_gaad_local_achievement,,needs_review,
GAAD Achievement QA,GAAD Achievement QA,In-app,debug_gaad_panel_title,,needs_review,
Qualification Mode,Qualification Mode,In-app,debug_gaad_qualification_mode,,needs_review,
VoiceOver only (watchOS v1),Nur VoiceOver (watchOS v1),In-app,debug_gaad_qualification_mode_voiceover_only,,needs_review,
VoiceOver + Switch Control (v1),VoiceOver + Switch Control (v1),In-app,debug_gaad_qualification_mode_voiceover_switch,,needs_review,
Would Qualify If Run Ends Now,Would Qualify If Run Ends Now,In-app,debug_gaad_qualifies_now,,needs_review,
GAAD Completion Signal Latched,GAAD Completion Signal Latched,In-app,debug_gaad_signal_latched,,needs_review,
GAAD Week Window,GAAD Week Window,In-app,debug_gaad_window,,needs_review,
Unavailable,Nicht verfügbar,In-app,debug_gaad_window_unavailable,,needs_review,
Debug,Debug,In-app,debug_section_title,,needs_review,
Show SpriteKit FPS and node count,SpriteKit-FPS und Knotenanzahl anzeigen,In-app,debug_show_spritekit_frame_stats,,needs_review,
Simulate Unlimited Plays,Unbegrenzte Spiele simulieren,In-app,debug_simulate_premium,,needs_review,
Default uses production behavior. Unlimited Plays forces full access. Freemium simulates that Unlimited Plays has not been purchased.,"Standard nutzt Produktionsverhalten. Unbegrenzte Spiele erzwingt vollen Zugriff. Freemium simuliert, dass Unbegrenzte Spiele nicht gekauft wurden.",In-app,debug_simulate_premium_footer,,needs_review,
Default,Standard,In-app,debug_simulation_mode_default,,needs_review,
Freemium,Freemium,In-app,debug_simulation_mode_freemium,,needs_review,
Unlimited Plays,Unbegrenzte Spiele,In-app,debug_simulation_mode_unlimited,,needs_review,
FPS %@ · Nodes %@,FPS %@ · Knoten %@,In-app,debug_spritekit_stats %@ %@,,needs_review,
Done,Fertig,In-app,done,,needs_review,
Unable to load products. Please check your internet connection.,Produkte konnten nicht geladen werden. Bitte prüfe deine Internetverbindung.,In-app,error_product_not_available,,needs_review,
Retry,Erneut versuchen,In-app,error_retry,,needs_review,
"Unlimited until %@, celebrating %@ 🏎","Unbegrenzt bis %@, feiern wir %@ 🏎",In-app,event_play_unlimited_subtitle %@ %@,,needs_review,
Unlimited Plays,Unbegrenzte Spiele,In-app,event_play_unlimited_title,,needs_review,
Finish,Beenden,In-app,finish,,needs_review,
Retro (Press Start 2P),Retro (Press Start 2P),In-app,font_style_custom,,needs_review,
System,System,In-app,font_style_system,,needs_review,
System monospaced,System monospaced,In-app,font_style_system_monospaced,,needs_review,
"Upcoming friend score: %@, %lld","Bevorstehende Freundes-Punktzahl: %@, %lld",In-app,friend_milestone_avatar %@ %lld,,needs_review,
Overtook %@,%@ überholt,In-app,friend_overtake_announcement %@,,needs_review,
Overtook %lld friends,%lld Freunde überholt,In-app,friend_overtake_announcement_multiple %lld,,needs_review,
RetroRapid!,RetroRapid!,In-app,gameName,,needs_review,
Game Over,Game Over,In-app,gameOver,,needs_review,
Finish Game,Spiel beenden,In-app,game_exit_confirmation_finish,,needs_review,
Keep Playing,Weiterspielen,In-app,game_exit_confirmation_keep_playing,,needs_review,
Do you want to finish this game and return to the menu?,Möchtest du dieses Spiel beenden und zum Menü zurückkehren?,In-app,game_exit_confirmation_message,,needs_review,
Finish this game?,Dieses Spiel beenden?,In-app,game_exit_confirmation_title,,needs_review,
Best: %lld,Beste: %lld,In-app,game_over_best %lld,,needs_review,
Next round could be your best yet.,Die nächste Runde könnte deine beste werden.,In-app,game_over_encouragement_subtitle,,needs_review,
Well played!,Gut gespielt!,In-app,game_over_encouragement_title,,needs_review,
%@: %lld,%@: %lld,In-app,game_over_friend_score %@ %lld,,needs_review,
Awesome drive! You beat your best score.,Starke Fahrt! Du hast deinen Bestwert geschlagen.,In-app,game_over_new_record_subtitle,,needs_review,
New Record!,Neuer Rekord!,In-app,game_over_new_record_title,,needs_review,
New record: %lld,Neuer Rekord: %lld,In-app,game_over_new_record_value %lld,,needs_review,
Next friend ahead,Nächster Freund voraus,In-app,game_over_next_friend_ahead_title,,needs_review,
+%lld more,+%lld weitere,In-app,game_over_overtaken_friends_more %lld,,needs_review,
Friends overtaken this run,Freunde in dieser Runde überholt,In-app,game_over_overtaken_friends_title,,needs_review,
Previous best: %lld,Vorherige Beste: %lld,In-app,game_over_previous_best %lld,,needs_review,
Speed: %@,Tempo: %@,In-app,game_over_speed %@,,needs_review,
Your best: %lld,Deine Beste: %lld,In-app,game_over_your_best %lld,,needs_review,
"%@ (%lld, %lld)","%@ (%lld, %lld)",In-app,"grid_cell_label %@ (%lld, %lld)",,needs_review,
Leaderboard,Bestenliste,In-app,leaderboard,,needs_review,
 x%lld, x%lld,In-app,lives_count,,needs_review,
Menu,Menü,In-app,menu_button,,needs_review,
Enjoying the game? You can help RetroRapid!,Gefällt dir das Spiel? Du kannst RetroRapid! unterstützen!,In-app,menu_engagement_prompt,,needs_review,
Enjoying the game?,Gefällt dir das Spiel?,In-app,menu_engagement_prompt_rate_only,,needs_review,
Play with Friends,Mit Freunden spielen,In-app,menu_play_with_friends,,needs_review,
Friend races are free.,Freundesrennen sind kostenlos.,In-app,menu_play_with_friends_free_footer,,needs_review,
SharePlay matches don’t use daily plays.,SharePlay-Matches verbrauchen keine täglichen Spiele.,In-app,menu_play_with_friends_free_hint,,needs_review,
Rate it,Bewerten,In-app,menu_rate_game,,needs_review,
Support the game,Spiel unterstützen,In-app,menu_support_game,,needs_review,
Move left,Nach links,In-app,move_left,,needs_review,
Double-tap to move car left,"Doppeltippen, um das Auto nach links zu bewegen",In-app,move_left_hint,,needs_review,
Move right,Nach rechts,In-app,move_right,,needs_review,
Double-tap to move car right,"Doppeltippen, um das Auto nach rechts zu bewegen",In-app,move_right_hint,,needs_review,
New high score! %lld overtakes,Neuer Highscore! %lld Überholungen,In-app,new_high_score_message %lld,,needs_review,
No car,Kein Auto,In-app,no_car,,needs_review,
Ok,OK,In-app,ok,,needs_review,
Pause,Pause,In-app,pause,,needs_review,
"Pixel-art portrait of a smiling, bearded man wearing a flat cap and navy sweater, set against a retro racing track with grandstands, starting lights, and tiny green cars in a colorful 16-bit game style.","Pixel-Art-Porträt eines lächelnden, bärtigen Mannes mit Flat Cap und marineblauem Pullover, vor einer Retro-Rennstrecke mit Tribünen, Startampeln und winzigen grünen Autos im bunten 16-Bit-Spielstil.",In-app,paywall_avatar_accessibility_label,,needs_review,
Hi! I'm Dani. Consider unlocking Unlimited Plays as a way to get me a coffee. Being caffeinated helps me keep building new features that I hope you'll love.,"Hi! Ich bin Dani. Schalte Unbegrenzte Spiele frei und spendier mir einen Kaffee. Koffein hilft mir, neue Features zu bauen, die du hoffentlich lieben wirst.",In-app,paywall_caption_coffee,,needs_review,
Close,Schließen,In-app,paywall_close,,needs_review,
One-time purchase. No subscription. Unlocks unlimited plays forever.,Einmaliger Kauf. Kein Abo. Schaltet unbegrenzte Spiele für immer frei.,In-app,paywall_footer_one_time,,needs_review,
"10% of proceeds go to **AMMEC**, an association that promotes autonomy and social integration for people with physical disabilities, supporting families and fostering community.","10 % der Einnahmen gehen an **AMMEC**, einen Verein, der Autonomie und soziale Integration für Menschen mit körperlichen Behinderungen fördert, Familien unterstützt und Gemeinschaft stärkt.",In-app,paywall_giving_back_body,,needs_review,
Giving Back,Zurückgeben,In-app,paywall_giving_back_title,,needs_review,
Go Unlimited,Unbegrenzt spielen,In-app,paywall_go_premium,,needs_review,
Learn More,Mehr erfahren,In-app,paywall_learn_more,,needs_review,
"Pit stop! You've used up all your plays for today. Come back tomorrow for more free plays. Or go unlimited: One coffee for me, unlimited plays for you!","Boxenstopp! Du hast alle Spiele für heute verbraucht. Komm morgen wieder für mehr Gratis-Spiele. Oder geh unbegrenzt: Ein Kaffee für mich, unbegrenzte Spiele für dich!",In-app,paywall_limit_notice,,needs_review,
Friend races are free with SharePlay!,Freundesrennen sind mit SharePlay kostenlos!,In-app,paywall_shareplay_free_notice,,needs_review,
Your daily limit resets at midnight.,Dein Tageslimit wird um Mitternacht zurückgesetzt.,In-app,paywall_stay_free_reset_body,,needs_review,
No worries!,Kein Stress!,In-app,paywall_stay_free_reset_title,,needs_review,
Want to Stay Free?,Gratis bleiben?,In-app,paywall_stay_free_title,,needs_review,
Keep playing as much as you want on your Apple Watch.,Spiele so viel du willst auf deiner Apple Watch.,In-app,paywall_stay_free_watch_body,,needs_review,
Apple Watch,Apple Watch,In-app,paywall_stay_free_watch_title,,needs_review,
Get Unlimited Plays,Unbegrenzte Spiele freischalten,In-app,paywall_title,,needs_review,
Unlimited plays forever. Choose from available visual themes. Support development.,Unbegrenzte Spiele für immer. Wähle aus verfügbaren visuellen Themes. Unterstütze die Entwicklung.,In-app,paywall_unlimited_and_themes,,needs_review,
Play,Spielen,In-app,play,,needs_review,
Remaining: %lld of %lld,Verbleibend: %lld von %lld,In-app,play_limit_remaining %lld %lld,,needs_review,
Resets in %lld hours,Zurücksetzen in %lld Stunden,In-app,play_limit_resets_in_hours %lld,,needs_review,
Resets in 1 hour,Zurücksetzen in 1 Stunde,In-app,play_limit_resets_in_one_hour,,needs_review,
Resets tomorrow at 00:00,Zurücksetzen morgen um 00:00,In-app,play_limit_resets_tomorrow,,needs_review,
%lld free plays every day without Unlimited Plays.,%lld Gratis-Spiele pro Tag ohne Unbegrenzte Spiele.,In-app,play_limit_section_footer %lld,,needs_review,
%lld free plays every day without Unlimited Plays. Welcome bonus: %lld free plays on your first day.,%lld Gratis-Spiele pro Tag ohne Unbegrenzte Spiele. Willkommensbonus: %lld Gratis-Spiele am ersten Tag.,In-app,play_limit_section_footer_first_day %lld %lld,,needs_review,
Thank you for your support!,Danke für deine Unterstützung!,In-app,play_limit_thank_you,,needs_review,
Play Limit,Spiel-Limit,In-app,play_limit_title,,needs_review,
♾️ Unlimited,♾️ Unbegrenzt,In-app,play_limit_unlimited,,needs_review,
Player car,Spielerauto,In-app,player_car,,needs_review,
Unlimited Plays,Unbegrenzte Spiele,In-app,product_unlimited_plays,,needs_review,
Purchase Failed,Kauf fehlgeschlagen,In-app,purchase_error_title,,needs_review,
Failed to restore purchases: %@,Käufe konnten nicht wiederhergestellt werden: %@,In-app,purchase_restored_failed %@,,needs_review,
No purchases found to restore.,Keine Käufe zum Wiederherstellen gefunden.,In-app,purchase_restored_none,,needs_review,
Purchase restored successfully!,Kauf erfolgreich wiederhergestellt!,In-app,purchase_restored_success,,needs_review,
You now have unlimited plays!,Du hast jetzt unbegrenzte Spiele!,In-app,purchase_success_message,,needs_review,
Purchase Successful,Kauf erfolgreich,In-app,purchase_success_title,,needs_review,
Redeem Code,Code einlösen,In-app,redeem_code,,needs_review,
Play again,Nochmal spielen,In-app,restart,,needs_review,
Restore Purchases,Käufe wiederherstellen,In-app,restore_purchases,,needs_review,
Resume,Fortsetzen,In-app,resume,,needs_review,
Rival car,Gegnerauto,In-app,rival_car,,needs_review,
Score,Punkte,In-app,score,,needs_review,
Score: %lld,Punkte: %lld,In-app,score %lld,,needs_review,
Settings,Einstellungen,In-app,settings,,needs_review,
Accessibility,Bedienungshilfen,In-app,settings_accessibility,,needs_review,
Audio cue tutorial,Audio-Hinweis-Tutorial,In-app,settings_audio_cue_tutorial,,needs_review,
Audio feedback mode,Audio-Feedback-Modus,In-app,settings_audio_feedback_mode,,needs_review,
Audio cues (arpeggio),Audio-Hinweise (Arpeggio),In-app,settings_audio_feedback_mode_cue_arpeggio,,needs_review,
Audio cues (chord),Audio-Hinweise (Akkord),In-app,settings_audio_feedback_mode_cue_chord,,needs_review,
Audio cues (lane pulses),Audio-Hinweise (Spurpulse),In-app,settings_audio_feedback_mode_cue_lane_pulses,,needs_review,
Retro audio,Retro-Audio,In-app,settings_audio_feedback_mode_retro,,needs_review,
Using Audio cues (arpeggio) (default when VoiceOver is on),Audio-Hinweise (Arpeggio) (Standard bei aktivem VoiceOver),In-app,settings_audio_feedback_mode_voiceover_default,,needs_review,
Big Cars,Große Autos,In-app,settings_big_cars,,needs_review,
Settings coming soon,Einstellungen demnächst,In-app,settings_coming_soon,,needs_review,
Controller,Controller,In-app,settings_controller,,needs_review,
Remapped buttons replace the default D-pad/Menu bindings for those actions. The left stick remains a left/right backup. Arrow keys remain active on Mac.,Neu zugewiesene Tasten ersetzen die Standard-D-pad/Menü-Belegungen für diese Aktionen. Der linke Stick bleibt als Links/Rechts-Backup. Pfeiltasten bleiben auf dem Mac aktiv.,In-app,settings_controller_footnote,,needs_review,
"Standard D-pad/left stick and Menu/Start controls always work. Mapped A, X, Y, shoulder, and trigger buttons add alternate controls. B/Back opens the finish confirmation.","Die Standardsteuerung mit Steuerkreuz/linkem Stick und Menü/Start funktioniert immer. Zugewiesene A-, X-, Y-, Schulter- und Trigger-Tasten dienen als Alternativen. B/Zurück öffnet die Bestätigung zum Beenden.",In-app,settings_controller_footnote_tvos,,needs_review,
Move Left Button,Taste Links,In-app,settings_controller_move_left,,needs_review,
Move Right Button,Taste Rechts,In-app,settings_controller_move_right,,needs_review,
Pause/Resume Button,Pause/Fortsetzen-Taste,In-app,settings_controller_pause_resume,,needs_review,
Controls,Steuerung,In-app,settings_controls,,needs_review,
How to play the game,So spielst du,In-app,settings_controls_how_to_play,,needs_review,
"• Swipe left or right to move.
• Tap the left or right half of the screen.
• Use the left and right arrow keys when a keyboard is connected.
• With a controller, the D-pad and left stick move by default; you can remap buttons in Controller settings.","• Wische links oder rechts zum Bewegen.
• Tippe auf die linke oder rechte Bildschirmhälfte.
• Nutze die Pfeiltasten links und rechts bei angeschlossener Tastatur.
• Mit einem Controller bewegen D-pad und linker Stick standardmäßig; Tasten kannst du in den Controller-Einstellungen neu belegen.",In-app,settings_controls_ios,,needs_review,
"• Use the left and right arrow keys on the keyboard to move.
• Click the left or right half of the window with the trackpad or mouse.
• Press the space bar to pause or resume.
• With a controller, the D-pad and left stick move by default; you can remap buttons in Controller settings.","• Nutze die Pfeiltasten links und rechts auf der Tastatur zum Bewegen.
• Klicke mit Trackpad oder Maus auf die linke oder rechte Fensterhälfte.
• Drücke die Leertaste zum Pausieren oder Fortsetzen.
• Mit einem Controller bewegen D-pad und linker Stick standardmäßig; Tasten kannst du in den Controller-Einstellungen neu belegen.",In-app,settings_controls_macos,,needs_review,
"• Swipe left or right, or click the left or right edge of the Siri Remote, to move.
• Press Play/Pause to pause or resume.
• Press Menu/Back to choose whether to finish the game.
• With a controller, use the D-pad or left stick to move, Menu/Start to pause, and B/Back to finish. Mapped buttons add alternate controls.","• Wische auf der Siri Remote nach links oder rechts oder klicke auf den linken oder rechten Rand, um dich zu bewegen.
• Drücke Play/Pause, um zu pausieren oder fortzufahren.
• Drücke Menü/Zurück, um zu entscheiden, ob du das Spiel beenden möchtest.
• Mit einem Controller bewegst du dich mit Steuerkreuz oder linkem Stick, pausierst mit Menü/Start und beendest mit B/Zurück. Zugewiesene Tasten dienen als alternative Steuerung.",In-app,settings_controls_tvos,,needs_review,
"• Look at a lane and pinch to move, or use the Left and Right buttons.
• Use the left and right arrow keys when a keyboard is connected.
• Press Space or use Pause to pause or resume.
• With a controller, use the D-pad or left stick to move and Menu/Start to pause.","• Sieh dir eine Spur an und führe eine Zwickgeste aus, oder nutze Links und Rechts.
• Nutze bei angeschlossener Tastatur die Pfeiltasten links und rechts.
• Drücke die Leertaste oder nutze Pause zum Pausieren und Fortsetzen.
• Nutze mit einem Controller das D-pad oder den linken Stick zum Bewegen und Menü/Start zum Pausieren.",In-app,settings_controls_visionos,,needs_review,
"• Rotate the Digital Crown up to move right and down to move left.
• Tap the left side of the screen to move left and the right side to move right.
• Swipe left to move left and right to move right.","• Drehe die Digital Crown nach oben für rechts und nach unten für links.
• Tippe links auf den Bildschirm für links und rechts für rechts.
• Wische links zum Bewegen nach links und rechts zum Bewegen nach rechts.",In-app,settings_controls_watchos,,needs_review,
Direct Touch,Direct Touch,In-app,settings_direct_touch,,needs_review,
Font,Schrift,In-app,settings_font,,needs_review,
Haptic feedback,Haptisches Feedback,In-app,settings_haptic_feedback,,needs_review,
In-game announcements,Ansagen im Spiel,In-app,settings_in_game_announcements,,needs_review,
Lane change cue,Spurwechsel-Hinweis,In-app,settings_lane_move_cue_style,,needs_review,
Haptics,Haptik,In-app,settings_lane_move_cue_style_haptics,,needs_review,
Lane + success,Spur + Erfolg,In-app,settings_lane_move_cue_style_lane_and_safety,,needs_review,
Lane confirmation,Spurbestätigung,In-app,settings_lane_move_cue_style_lane_confirmation,,needs_review,
Success,Erfolg,In-app,settings_lane_move_cue_style_safety_only,,needs_review,
Scores are submitted to Game Center.,Punkte werden an Game Center gesendet.,In-app,settings_leaderboard_watch_info,,needs_review,
Sign in to Game Center on your iPhone to submit scores from the watch.,"Melde dich auf deinem iPhone bei Game Center an, um Punkte von der Uhr zu senden.",In-app,settings_leaderboard_watch_sign_in_required,,needs_review,
Get Unlimited Plays,Unbegrenzte Spiele freischalten,In-app,settings_learn_premium,,needs_review,
%lld%%,%lld%%,In-app,settings_percentage_value,,needs_review,
Unlimited Plays,Unbegrenzte Spiele,In-app,settings_premium_active,,needs_review,
Endless play and choose your favorite theme.,Endloses Spielen und wähle dein Lieblings-Theme.,In-app,settings_premium_active_subtitle,,needs_review,
Purchases,Käufe,In-app,settings_purchases_title,,needs_review,
"If you've purchased Unlimited Plays on another device, tap Restore Purchases.","Wenn du Unbegrenzte Spiele auf einem anderen Gerät gekauft hast, tippe auf Käufe wiederherstellen.",In-app,settings_restore_footer,,needs_review,
Road Style,Straßenstil,In-app,settings_road_visual_style,,needs_review,
Detailed Road,Detaillierte Straße,In-app,settings_road_visual_style_detailed,,needs_review,
Simplified Grid,Vereinfachtes Raster,In-app,settings_road_visual_style_simplified,,needs_review,
Sound,Ton,In-app,settings_sound,,needs_review,
Sound effects volume,Lautstärke Soundeffekte,In-app,settings_sound_effects_volume,,needs_review,
Speed,Tempo,In-app,settings_speed,,needs_review,
Using Cruise (default when VoiceOver is on),Cruise (Standard bei aktivem VoiceOver),In-app,settings_speed_voiceover_default,,needs_review,
Speed increase warning feedback,Feedback bei Tempoerhöhung,In-app,settings_speed_warning_feedback,,needs_review,
VoiceOver announcement,VoiceOver-Ansage,In-app,settings_speed_warning_feedback_announcement,,needs_review,
None,Keine,In-app,settings_speed_warning_feedback_none,,needs_review,
Preview warning,Warnung vorhören,In-app,settings_speed_warning_feedback_preview_warning,,needs_review,
Haptic,Haptik,In-app,settings_speed_warning_feedback_warning_haptic,,needs_review,
Sound,Ton,In-app,settings_speed_warning_feedback_warning_sound,,needs_review,
Theme,Theme,In-app,settings_theme,,needs_review,
Style Gallery,Stilgalerie,In-app,settings_theme_gallery_preview,,needs_review,
